"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"87","Cam Akers",LAR,"RB39","2 out of 5 stars","4 out of 5 stars","-50"
"88","Allen Lazard",GB,"WR35","3 out of 5 stars","4 out of 5 stars","+15"
"89","Chris Godwin",TB,"WR36","4 out of 5 stars","4 out of 5 stars","-30"
"90","Melvin Gordon III",DEN,"RB40","2 out of 5 stars","2 out of 5 stars","+15"
"91","Brandon Aiyuk",SF,"WR37","3 out of 5 stars","3 out of 5 stars","+6"
"92","Joe Burrow",CIN,"QB7","0 out of 5 stars","0 out of 5 stars","-35"
"93","Pat Freiermuth",PIT,"TE9","4 out of 5 stars","3 out of 5 stars","+13"
"94","T.J. Hockenson",DET,"TE10","3 out of 5 stars","4 out of 5 stars","-29"
"95","Jahan Dotson",WAS,"WR38","4 out of 5 stars","3 out of 5 stars","+76"
"96","Adam Thielen",MIN,"WR39","2 out of 5 stars","3 out of 5 stars","-25"
"97","Amari Cooper",CLE,"WR40","3 out of 5 stars","4 out of 5 stars","-29"
"98","Jamaal Williams",DET,"RB41","4 out of 5 stars","4 out of 5 stars","+69"
"99","Hunter Renfrow",LV,"WR41","2 out of 5 stars","2 out of 5 stars","-20"
"100","Raheem Mostert",MIA,"RB42","4 out of 5 stars","4 out of 5 stars","+42"
"101","DeVonta Smith",PHI,"WR42","4 out of 5 stars","4 out of 5 stars","-8"
"102","Tom Brady",TB,"QB8","0 out of 5 stars","0 out of 5 stars","-32"
"103","Chris Olave",NO,"WR43","4 out of 5 stars","3 out of 5 stars","+4"
"104","Russell Wilson",DEN,"QB9","0 out of 5 stars","0 out of 5 stars","-30"
"105","Brian Robinson Jr.",WAS,"RB43","4 out of 5 stars","3 out of 5 stars","+45"
"106","Khalil Herbert",CHI,"RB44","5 out of 5 stars","4 out of 5 stars","+73"
"107","Derek Carr",LV,"QB10","0 out of 5 stars","0 out of 5 stars","+2"
"108","Kirk Cousins",MIN,"QB11","0 out of 5 stars","0 out of 5 stars","+11"
"109","Tyler Lockett",SEA,"WR44","4 out of 5 stars","4 out of 5 stars","-13"
"110","Matthew Stafford",LAR,"QB12","0 out of 5 stars","0 out of 5 stars","-15"
"111","Nyheim Hines",IND,"RB45","3 out of 5 stars","4 out of 5 stars","+26"
"112","Tua Tagovailoa",MIA,"QB13","0 out of 5 stars","0 out of 5 stars","+26"
"113","Aaron Rodgers",GB,"QB14","0 out of 5 stars","0 out of 5 stars","-37"
"114","Ken Walker III",SEA,"RB46","3 out of 5 stars","3 out of 5 stars","-4"
